"author","a","e","ea","eai","ef","efa","efi","efo","efoi","efor","eforpa","ei","eo","eof","eoi","eop","eor","eori","eorp","eorpa","ep","epi","er","era","eri","erp","erpai","erpi","f","fi","fo","foi","for","i","o","oe","of","oi","op","or","p","r","ra","rp"
"DOTEZAC","0  ( 0 %)","3  ( 4 %)","0  ( 0 %)","1  ( 1 %)","4  ( 5 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","14  ( 19 %)","19  ( 26 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","8  ( 11 %)","2  ( 3 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","5  ( 7 %)","14  ( 19 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)"
"GRAMONT","0  ( 0 %)","15  ( 11 %)","0  ( 0 %)","0  ( 0 %)","4  ( 3 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","8  ( 6 %)","25  ( 19 %)","0  ( 0 %)","6  ( 5 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","14  ( 11 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","4  ( 3 %)","50  ( 38 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)"
"LATOUR","2  ( 2 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","2  ( 2 %)","1  ( 1 %)","0  ( 0 %)","4  ( 4 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","2  ( 2 %)","12  ( 11 %)","2  ( 2 %)","0  ( 0 %)","1  ( 1 %)","2  ( 2 %)","2  ( 2 %)","0  ( 0 %)","1  ( 1 %)","1  ( 1 %)","0  ( 0 %)","3  ( 3 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","0  ( 0 %)","24  ( 22 %)","0  ( 0 %)","2  ( 2 %)","0  ( 0 %)","1  ( 1 %)","7  ( 6 %)","34  ( 31 %)","0  ( 0 %)","1  ( 1 %)","2  ( 2 %)","0  ( 0 %)","1  ( 1 %)","0  ( 0 %)","1  ( 1 %)","1  ( 1 %)","0  ( 0 %)"
"TALLEYRAND","0  ( 0 %)","12  ( 8 %)","1  ( 1 %)","0  ( 0 %)","5  ( 3 %)","0  ( 0 %)","0  ( 0 %)","2  ( 1 %)","1  ( 1 %)","0  ( 0 %)","0  ( 0 %)","8  ( 5 %)","20  ( 13 %)","0  ( 0 %)","4  ( 3 %)","0  ( 0 %)","3  ( 2 %)","2  ( 1 %)","0  ( 0 %)","0  ( 0 %)","2  ( 1 %)","0  ( 0 %)","2  ( 1 %)","1  ( 1 %)","0  ( 0 %)","1  ( 1 %)","1  ( 1 %)","1  ( 1 %)","13  ( 8 %)","0  ( 0 %)","2  ( 1 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","61  ( 40 %)","0  ( 0 %)","0  ( 0 %)","1  ( 1 %)","2  ( 1 %)","1  ( 1 %)","1  ( 1 %)","1  ( 1 %)","3  ( 2 %)","1  ( 1 %)"
